Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"AEGON NV",769218,AEG,NYSE,000000000,"AEGONPLEIN 50","PO BOX 85","THE HAGUE",,P7,NETHERLANDS,Foreign,"2501 CB",011-31-70-344-7308,P7,,,6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers Accountants NV",108,NETHERLANDS,"36,678,779","3,549,559",0,0,0,,,0,"3,549,559","40,228,338",USD,Yes,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-21,4.98,2021-12-29,"10,448,609,280",2021-12-31,"56,994,000,000","2,306,000,000","28,249,000,000","532,498,000,000"
"ALBEMARLE CORP",915913,ALB,NYSE,541692118,"4250 CONGRESS STREET","SUITE 900",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28209,"(980) 299-5700",VA,,,2821,"Plastics Material and Synthetic Resins, and Nonvulcanizable Elastomers",325211,"Plastics Material and Resin Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"4,086,600","1,021,000",0,0,0,,,"229,000","1,250,000","5,336,600",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-22,232.53,2021-12-29,"27,200,503,808",2021-12-31,"3,327,957,000","123,672,000","3,718,692,000","10,974,118,000"
"TUPPERWARE BRANDS CORP",1008654,TUP,NYSE,364062333,"14901 S ORANGE BLOSSOM TRAIL",,ORLANDO,Orange,FL,FLORIDA,"US Southeast",32837-6600,"(407) 826-5050",DE,,,3089,"Plastics Products, NEC",322215,"Nonfolding Sanitary Food Container Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"5,908,468","81,000",0,0,"1,386,154",,,"79,700","1,546,854","7,455,322",USD,,,0,2021-12-25,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-22,15.14,2021-12-27,"740,046,848",2021-12-25,"1,602,300,000","18,600,000","-260,400,000","1,255,400,000"
"Edwards Lifesciences Corp",1099800,EW,NYSE,364316614,"ONE EDWARDS WAY",,IRVINE,Orange,CA,CALIFORNIA,"US West",92614,"(949) 250-2500",DE,,,3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",339112,"Surgical and Medical Instrument Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"3,800,000","100,000",0,0,"1,800,000","1,200,000","600,000","15,000","1,915,000","5,715,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-22,130.64,2021-12-29,"81,563,058,176",2021-12-31,"5,232,500,000","1,503,100,000","4,406,400,000","8,502,600,000"
"NCR CORP",70866,NCR,NYSE,310387920,"864 SPRING STREET NW",,ATLANTA,Fulton,GA,GEORGIA,"US Southeast",30309,"(937) 445-5000",MD,,,3578,"Calculating and Accounting Machines, Except Electronic Computers",334119,"Other Computer Peripheral Equipment Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"7,255,000","83,000",0,0,"1,543,000","171,000","1,372,000","5,000","1,631,000","8,886,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-03-22,39.78,2021-12-29,"5,250,959,872",2021-12-31,"7,156,000,000","97,000,000","-4,305,000,000","11,641,000,000"
"CADENCE DESIGN SYSTEMS INC",813672,CDNS,"NASDAQ Global Select Market",000000000,"2655 SEELY AVENUE BLDG 5",,"SAN JOSE","Santa Clara",CA,CALIFORNIA,"US West",95134,"(408) 943-1234",DE,,,7372,"Prepackaged Software",511210,"Software Publishers",34,"PricewaterhouseCoopers LLP",1,,,,"3,659,000",0,0,0,"233,000",,,"10,000","243,000","3,902,000",USD,,,0,2022-01-01,2021,12,0101,"S&P 500","Russell 1000","DEF 14A",2022-03-22,183.16,2022-01-03,"50,761,146,368",2022-01-01,"2,988,244,000","695,955,000","1,579,052,000","4,386,299,000"
"Verona Pharma plc",1657312,VRNA,"NASDAQ Global Market",981489389,"3 MORE LONDON RIVERSIDE",,LONDON,,X0,"UNITED KINGDOM",Foreign,"SE1 2RE",011-44-0-2032834200,X0,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP",121,"UNITED KINGDOM","453,000","162,000",0,0,0,,,"231,000","393,000","846,000",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-03-22,6.83,2021-12-29,"409,870,848",2021-12-31,"40,000,000","-55,569,000","147,460,000","186,587,000"
"TELECOM ARGENTINA SA",932470,TEO,NYSE,000000000,"GENERAL HORNOS, NO. 690",,"BUENOS AIRES",,C1,ARGENTINA,Foreign,C1272ACL,54-11-4968-4000,C1,,,4813,"Telephone Communications, Except Radiotelephone",334210,"Telephone Apparatus Manufacturing",34,"PricewaterhouseCoopers LLP",1,"Price Waterhouse & Co SRL",88,ARGENTINA,"1,794,754","24,268",0,0,"86,520",,,"13,717","124,504","1,919,258",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-22,5.18,2021-12-29,"650,668,096",2021-12-31,"8,071,000,000","189,000,000","343,000,000","20,467,000,000"
"ASSURANT, INC.",1267238,AIZ,NYSE,391126612,"ONE CHASE MANHATTAN PLAZA",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10005,"(212) 859-7000",DE,,,6399,"Insurance Carriers, NEC",524130,"Reinsurance Carriers",34,"PricewaterhouseCoopers LLP",1,,,,"14,131,000","2,524,000",0,0,"98,000",,,"18,000","2,640,000","16,771,000",USD,Uncertain,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-22,154.69,2021-12-29,"8,813,726,720",2021-12-31,"10,187,600,000","1,372,400,000","2,198,900,000","33,911,500,000"
"Vascular Biogenics Ltd.",1603207,VBLT,"NASDAQ Capital Market",000000000,"HASATAT 8 ST.",,"MODI'IN,",,L3,ISRAEL,Foreign,7178106,972-3-6346450,L3,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"PricewaterhouseCoopers LLP",1,"Kesselman & Kesselman",223,ISRAEL,"330,000",0,0,0,"5,000",,,0,"5,000","335,000",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-23,1.92,2021-12-29,"92,519,928",2021-12-31,"768,000","-29,920,000",,"64,661,000"
"STAG Industrial, Inc.",1479094,STAG,NYSE,273099608,"ONE FEDERAL STREET","23RD FLOOR",BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02110,"(617) 574-4777",,,,6798,"Real Estate Investment Trusts",525930,"Real Estate Investment Trusts",34,"PricewaterhouseCoopers LLP",1,,,,"1,132,500",0,0,0,0,,,"2,700","2,700","1,135,200",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-23,47.91,2021-12-29,"8,133,741,056",2021-12-31,"562,159,000","192,334,000",,"5,833,249,000"
"GCP Applied Technologies Inc.",1644440,,,473936076,"62 WHITTEMORE AVENUE",,CAMBRIDGE,Middlesex,MA,MASSACHUSETTS,"US New England",02140,"(617) 876-1400",DE,,,2800,"Chemicals & Allied Products",325998,"All Other Miscellaneous Chemical Product and Preparation Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"4,130,150","13,800",0,0,"46,800",,,"6,030","66,630","4,196,780",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-23,31.85,2021-12-29,"2,341,188,096",2021-12-31,"970,100,000","21,200,000","414,900,000","1,446,600,000"
"COLGATE PALMOLIVE CO",21665,CL,NYSE,131815595,"300 PARK AVE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10022,"(212) 310-2000",DE,,,2844,"Perfumes, Cosmetics, and Other Toilet Preparations",325611,"Soap and Other Detergent Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"11,900,000","300,000",0,0,"2,500,000",,,0,"2,800,000","14,700,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-23,84.91,2021-12-29,"71,566,278,656",2021-12-31,"17,421,000,000","2,166,000,000","-5,137,000,000","15,040,000,000"
"Ovintiv Inc.",1792580,OVV,NYSE,844427672,"370 - 17TH STREET, SUITE 1700",,DENVER,Denver,CO,COLORADO,"US West",80202,"(303) 623-2300",DE,,,1311,"Crude Petroleum and Natural Gas",211111,"Crude Petroleum and Natural Gas Extraction",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP Chartered Accountants",191,ONTARIO,"2,494,000","266,000",0,0,"108,000",,,"7,000","381,000","2,875,000",USD,,,0,2021-12-31,2021,12,1231,,"Russell 1000","DEF 14A",2022-03-23,33.66,2021-12-29,"8,788,102,144",2021-12-31,"8,658,000,000","1,416,000,000","2,446,000,000","14,055,000,000"
"ASSURED GUARANTY LTD",1273813,AGO,NYSE,980429991,"30 WOODBOURNE AVENUE","5TH FLOOR",HAMILTON,,D0,BERMUDA,Foreign,HM08,"(441) 296-4004",D0,,,6351,"Surety Insurance",524292,"Third Party Administration of Insurance and Pension Funds",34,"PricewaterhouseCoopers LLP",1,,,,"9,064,000","855,000",0,0,"332,000",,,"4,000","1,191,000","10,255,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 1000","DEF 14A",2022-03-23,50.12,2021-12-29,"3,500,921,600",2021-12-31,"848,000,000","389,000,000","6,139,000,000","18,208,000,000"
"ROGERS CORP",84748,ROG,NYSE,060513860,"2225 W CHANDLER BLVD",,CHANDLER,Maricopa,AZ,ARIZONA,"US Southwest",85224,"(480) 917-6000",MA,,,2821,"Plastics Material and Synthetic Resins, and Nonvulcanizable Elastomers",325211,"Plastics Material and Resin Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"3,078,500","18,550",0,0,"63,803",,,"7,900","90,253","3,168,753",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000",10-K,2022-02-22,272.96,2021-12-29,"5,112,506,368",2021-12-31,"932,886,000","108,133,000","572,353,000","1,598,566,000"
"EASTMAN CHEMICAL CO",915389,EMN,NYSE,621539359,"PO BOX 511","200 SOUTH WILCOX DRIVE",KINGSPORT,Sullivan,TN,TENNESSEE,"US Southeast",37660,"(423) 229-2000",DE,,,2821,"Plastics Material and Synthetic Resins, and Nonvulcanizable Elastomers",325211,"Plastics Material and Resin Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"5,540,000","3,100,000",0,0,"4,554,000",,,"5,000","7,659,000","13,199,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-23,120.27,2021-12-29,"16,169,132,032",2021-12-31,"10,476,000,000","857,000,000","701,000,000","15,519,000,000"
"3M CO",66740,MMM,NYSE,410417775,"3M CENTER","BLDG. 220-13E-26A","ST PAUL",Ramsey,MN,MINNESOTA,"US Midwest",55144-1000,"(651) 733-1474",DE,,,3841,"Surgical and Medical Instruments and Apparatus",322222,"Coated and Laminated Paper Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"21,900,000","500,000",0,0,"500,000",,,0,"1,000,000","22,900,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-23,178.41,2021-12-29,"102,809,264,128",2021-12-31,"35,355,000,000","5,921,000,000","-3,728,000,000","47,072,000,000"
"TopBuild Corp",1633931,BLD,NYSE,473096382,"475 N. WILLIAMSON BLVD.",,"DAYTONA BEACH",Volusia,FL,FLORIDA,"US Southeast",32114,"(386) 304-2200",DE,,,1700,"Construction - Special Trade Contractors",332913,"Plumbing Fixture Fitting and Trim Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"3,416,000",0,0,0,0,,,"153,988","153,988","3,569,988",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-03-23,278.46,2021-12-29,"9,168,325,632",2021-12-31,"3,486,207,000","324,016,000","-997,538,000","4,258,530,000"
"MBIA INC",814585,MBI,NYSE,061185706,"1 MANHATTANVILLE ROAD","SUITE 301",PURCHASE,Westchester,NY,"NEW YORK","US Mid Atlantic",10577,"(914) 273-4545",CT,,,6351,"Surety Insurance",524126,"Direct Property and Casualty Insurance Carriers",34,"PricewaterhouseCoopers LLP",1,,,,"3,861,000","106,000",0,0,"42,000",,,"1,000","149,000","4,010,000",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-23,13.06,2021-12-29,"710,545,664",2021-12-31,"189,000,000","-445,000,000",,"4,696,000,000"
"NEWELL BRANDS INC.",814453,NWL,"NASDAQ Global Select Market",363514169,"6655 PEACHTREE DUNWOODY ROAD",,ATLANTA,Fulton,GA,GEORGIA,"US Southeast",30328,"(800) 424-1941",DE,,,3089,"Plastics Products, NEC",326199,"All Other Plastics Product Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"12,800,000","200,000",0,0,"1,600,000",,,0,"1,800,000","14,600,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-23,21.64,2021-12-29,"9,205,655,552",2021-12-31,"10,589,000,000","622,000,000","-2,716,000,000","14,269,000,000"
"TERADATA CORP /DE/",816761,TDC,NYSE,753236470,"17095 VIA DEL CAMPO",,"SAN DIEGO","San Diego",CA,CALIFORNIA,"US West",92127,"(866) 548-8348",DE,,,7372,"Prepackaged Software",518210,"Data Processing, Hosting, and Related Services",34,"PricewaterhouseCoopers LLP",1,,,,"2,341,008","50,000",0,0,"104,000",,,"51,903","205,903","2,546,911",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-03-23,43.83,2021-12-29,"4,755,554,816",2021-12-31,"1,917,000,000","147,000,000","64,000,000","2,169,000,000"
"JANUS HENDERSON GROUP PLC",1274173,JHG,NYSE,981376360,"201 BISHOPSGATE",,LONDON,,X0,"UNITED KINGDOM",Foreign,"EC2M 3AE",442078181818,Y9,,,6282,"Investment Advice",523920,"Portfolio Management",34,"PricewaterhouseCoopers LLP",1,,,,"4,446,684","320,520",0,0,"54,377",,,"976,221","1,351,118","5,797,802",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-03-24,42.61,2021-12-29,"7,268,606,976",2021-12-31,"2,767,000,000","622,100,000","894,200,000","6,727,500,000"
"ALLETE INC",66756,ALE,NYSE,410418150,"30 W SUPERIOR ST",,DULUTH,"Saint Louis",MN,MINNESOTA,"US Midwest",55802-2093,"(218) 279-5000",MN,,,4931,"Electric and Other Services Combined",221122,"Electric Power Distribution",34,"PricewaterhouseCoopers LLP",1,,,,"1,835,400","45,000",0,0,"35,500","35,500",,"2,780","83,280","1,918,680",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 2000","DEF 14A",2022-03-24,66.2,2021-12-29,"3,480,297,216",2021-12-31,"1,419,200,000","169,200,000","2,403,500,000","6,422,300,000"
"Southwest Gas Holdings, Inc.",1692115,SWX,NYSE,813881866,"C/O SOUTHWEST GAS CORPORATION","8360 S. DURANGO DRIVE","LAS VEGAS",Clark,NV,NEVADA,"US West",89113,"(702) 876-7237",DE,,,4923,"Natural Gas Transmission and Distribution",221210,"Natural Gas Distribution",34,"PricewaterhouseCoopers LLP",1,,,,"4,671,000","190,000",0,0,"532,000",,,"1,000","723,000","5,394,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 2000",DEFC14A,2022-03-24,69.6,2021-12-29,"4,202,801,920",2021-12-31,"3,680,451,000","200,779,000","1,369,205,000","12,765,257,000"
"HUNT J B TRANSPORT SERVICES INC",728535,JBHT,"NASDAQ Global Select Market",710335111,"615 JB HUNT CORPORATE DR","PO BOX 130",LOWELL,Benton,AR,ARKANSAS,"US Southeast",72745,"(479) 820-0000",AR,,,4213,"Trucking, Except Local",484121,"General Freight Trucking, Long-Distance, Truckload",34,"PricewaterhouseCoopers LLP",1,,,,"1,258,000","343,000",0,0,0,,,0,"343,000","1,601,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-24,205.75,2021-12-29,"21,606,608,896",2021-12-31,"12,168,302,000","760,806,000","2,926,723,000","6,794,348,000"
"CANADIAN NATURAL RESOURCES LTD",1017413,CNQ,NYSE,000000000,"2500, 855 - 2ND STREET S.W.",,CALGARY,,A0,ALBERTA,Canada,"T2P 4J8","(403) 514-7605",A0,,,1311,"Crude Petroleum and Natural Gas",211111,"Crude Petroleum and Natural Gas Extraction",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP Chartered Accountants",191,ONTARIO,"1,842,985","369,395",0,0,"243,338",,,"13,563","626,296","2,469,281",USD,,,0,2021-12-31,2021,12,1231,,,40-F,2022-03-23,41.9,2021-12-29,"49,603,997,696",2021-12-31,"23,795,000,000","6,067,000,000",,"60,694,000,000"
"Golden Ocean Group Ltd",1029145,GOGL,"NASDAQ Global Select Market",000000000,"PAR LA VILLE PLACE, 4TH FLOOR","14 PAR LA VILLE ROAD",HAMILTON,,D0,BERMUDA,Foreign,"HM 08","(441) 295-6935",D0,,,4400,"Water Transportation",532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers AS",287,NORWAY,"764,000","36,000",0,0,0,,,0,"36,000","800,000",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000",20-F,2022-03-24,8.99,2021-12-29,"1,288,515,968",2021-12-31,"1,203,181,000","527,218,000",,"3,454,177,000"
"Scorpio Tankers Inc.",1483934,STNG,NYSE,000000000,"9, BOULEVARD CHARLES III",,MONACO,,O9,MONACO,Foreign,98000,"(212) 542-1616",,,,4412,"Deep Sea Foreign Transportation of  Freight",483111,"Deep Sea Freight Transportation",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers Audit",98,FRANCE,"683,400",0,0,0,0,,,0,0,"683,400",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000",20-F,2022-03-23,12.76,2021-12-29,"741,268,544",2021-12-31,"540,786,000","-234,435,000","1,828,028,000","5,013,969,000"
"CMS ENERGY CORP",811156,CMS,NYSE,382726431,"ONE ENERGY PLAZA",,JACKSON,Jackson,MI,MICHIGAN,"US Midwest",49201,"(517) 788-0550",MI,,,4931,"Electric and Other Services Combined",211112,"Natural Gas Liquid Extraction",34,"PricewaterhouseCoopers LLP",1,,,,"4,843,190","214,500",0,0,0,,,"17,400","231,900","5,075,090",USD,Yes,,1,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-03-23,65.19,2021-12-29,"18,885,371,904",2021-12-31,"7,329,000,000","1,353,000,000",,"28,753,000,000"
"CONSUMERS ENERGY CO",201533,CMS.B,NYSE,380442310,"ONE ENERGY PLAZA",,JACKSON,Jackson,MI,MICHIGAN,"US Midwest",49201,"(517) 788-0550",MI,811156,"CMS ENERGY CORP",4931,"Electric and Other Services Combined",221122,"Electric Power Distribution",34,"PricewaterhouseCoopers LLP",1,,,,"4,567,211","214,500",0,0,0,,,"17,400","231,900","4,799,111",USD,,Yes,1,2021-12-31,2021,12,1231,,,"DEF 14A",2023-03-23,109.05,2021-12-30,"9,172,063,232",2021-12-31,"7,021,000,000","868,000,000",,"27,140,000,000"
"MANITOWOC CO INC",61986,MTW,NYSE,390448110,"11270 WEST PARK PLACE","SUITE 10000",MILWAUKEE,Milwaukee,WI,WISCONSIN,"US Midwest",53224,"(920) 652-2222",WI,,,3531,"Construction Machinery and Equipment",333120,"Construction Machinery Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"2,069,000",0,0,0,"35,100",,,"2,745","37,845","2,106,845",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-24,19.13,2021-12-29,"670,341,568",2021-12-31,"1,720,200,000","11,000,000","273,100,000","1,775,200,000"
"Revance Therapeutics, Inc.",1479290,RVNC,"NASDAQ Global Market",770551645,"1222 DEMONBREUN STREET","SUITE 2000",NASHVILLE,Davidson,TN,TENNESSEE,"US Southeast",37203,"(615) 724-7755",DE,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"1,854,900",0,0,0,0,,,900,900,"1,855,800",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-24,16.57,2021-12-29,"1,189,640,704",2021-12-31,"77,798,000","-281,310,000","-133,827,000","531,163,000"
"Philip Morris International Inc.",1413329,PM,NYSE,133435103,"677 WASHINGTON BLVD, STE. 1100",,STAMFORD,Fairfield,CT,CONNECTICUT,"US New England",06901,"(203) 905-2410",VA,,,2111,Cigarettes,312221,"Cigarette Manufacturing",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers SA",286,SWITZERLAND,"20,600,000","1,440,000",0,0,"2,490,000",,,"1,280,000","5,210,000","25,810,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-24,94.3,2021-12-29,"146,808,848,384",2021-12-31,"82,223,000,000","9,109,000,000","-19,604,000,000","41,290,000,000"
"Under Armour, Inc.",1336917,UAA,NYSE,521990078,"1020 HULL STREET","3RD FLOOR",BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21230,"(410) 454-6758",MD,,,2300,"Apparel & Other Finishd Prods of Fabrics & Similar Matl",315192,"Underwear and Nightwear Knitting Mills",34,"PricewaterhouseCoopers LLP",1,,,,"2,638,792","7,360",0,0,"861,000",,,"7,000","875,360","3,514,152",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-03-24,21.08,2021-12-29,"3,976,649,216",2021-12-31,"5,683,466,000","360,060,000","1,582,769,000","4,991,396,000"
"PRUDENTIAL FINANCIAL INC",1137774,PRU,NYSE,223703799,"751 BROAD ST",,NEWARK,Essex,NJ,"NEW JERSEY","US Mid Atlantic",07102,"(973) 802-6000",NJ,,,6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"PricewaterhouseCoopers LLP",1,,,,"54,000,000","10,000,000",0,0,"2,000,000","1,300,000","700,000",0,"12,000,000","66,000,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-24,109.08,2021-12-29,"41,232,240,640",2021-12-31,"70,934,000,000","7,724,000,000",,"937,582,000,000"
"Graham Holdings Co",104889,GHC,NYSE,530182885,"1300 NORTH 17TH STREET","SUITE 1700",ARLINGTON,Arlington,VA,VIRGINIA,"US Mid Atlantic",22209,"(703) 345-6300",DE,,,8200,"Services-Educational Services",511110,"Newspaper Publishers",34,"PricewaterhouseCoopers LLP",1,,,,"4,919,000",0,0,0,"280,000",,,"87,000","367,000","5,286,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 2000","DEF 14A",2022-03-24,587.52,2021-12-29,"2,343,420,416",2021-12-31,"3,185,974,000","352,075,000","2,375,012,000","7,425,525,000"
"Global Ship Lease, Inc.",1430725,GSL,NYSE,000000000,"TRUST COMPANY COMPLEX","AJELTAKE ROAD, AJELTAKE ISLAND",MAJURO,,1T,"MARSHALL ISLANDS",Foreign,MH96960,"44 (0) 20 3998 0060",1T,,,4412,"Deep Sea Foreign Transportation of  Freight",483111,"Deep Sea Freight Transportation",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers SA",274,GREECE,"569,833","286,873",0,0,"67,191",,,0,"354,064","923,897",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-24,22.39,2021-12-29,"397,221,184",2021-12-31,"447,954,000","171,495,000",,"1,994,114,000"
"DIRTT ENVIRONMENTAL SOLUTIONS LTD",1340476,DRTT,"NASDAQ Capital Market",NA,"7303 30 ST S E",,"CALGARY ALBERTA T2C 1N6 CAN",,A0,ALBERTA,Canada,"T2C 1N6","(403) 723-5000",A0,,,7372,"Prepackaged Software",511210,"Software Publishers",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP Chartered Accountants",191,ONTARIO,"436,214","108,594",0,0,0,,,"1,636","110,230","546,444",USD,,,0,2021-12-31,2021,12,1231,,,DEFC14A,2022-03-24,1.71,2021-12-29,"145,922,096",2021-12-31,"147,593,000","-53,668,000","60,371,000","199,439,000"
"ENPRO INDUSTRIES, INC",1164863,NPO,NYSE,010573945,"5605 CARNEGIE BOULEVARD","SUITE 500",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28209,"(704) 731-1522",NC,,,3050,"Gaskets, Packg & Sealg Devices & Rubber & Plastics Hose",339991,"Gasket, Packing, and Sealing Device Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"3,819,000","13,000",0,0,0,,,"7,000","20,000","3,839,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-25,112.36,2021-12-29,"2,315,160,832",2021-12-31,"840,400,000","177,900,000","-521,800,000","2,974,600,000"
"APTARGROUP, INC.",896622,ATR,NYSE,363853103,"265 EXCHANGE DRIVE","SUITE 301","CRYSTAL LAKE",McHenry,IL,ILLINOIS,"US Midwest",60014,"(815) 477-0424",DE,,,3089,"Plastics Products, NEC",326199,"All Other Plastics Product Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"4,014,000","5,000",0,0,"192,000",,,"145,000","342,000","4,356,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-03-25,122.1,2021-12-29,"8,037,489,664",2021-12-31,"3,227,221,000","244,097,000","632,907,000","4,141,364,000"
"Nurix Therapeutics, Inc.",1549595,NRIX,"NASDAQ Global Market",270838048,"1700 OWENS STREET, SUITE 205",,"SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94158,"(415) 660-5320",DE,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"2,263,150",0,0,0,0,,,"2,000","2,000","2,265,150",USD,,,0,2021-11-30,2021,11,1130,,"Russell 2000","DEF 14A",2022-03-25,28.35,2021-12-02,"1,264,768,512",2021-11-30,"29,750,000","-117,194,000",,"476,771,000"
